Ward,Estimated Mean Income
1,122484.73
2,125593.48
3,117574.23
4,101800.18
5,96028.92
6,118715.29
7,97385.67
8,105905.3
9,86731.65
10,101744.58
11,106499.65
12,108832.46
13,108758.98
14,113770.84
