,Year,Month,Ward,Crime Count,Population,Crime Rate,Estimated Mean Income,Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm)
0,2021,1,1.0,102,7929.0,12.864169504351116,122484.73,-5.012903225806451,0.0,0.0,0.7
1,2021,1,2.0,66,9756.0,6.7650676506765075,125593.48,-5.012903225806451,0.0,0.0,0.7
2,2021,1,3.0,77,6702.2307692307695,11.488712139471358,117574.23,-5.012903225806451,0.0,0.0,0.7
3,2021,1,4.0,159,4798.8,33.13328332083021,101800.18,-5.012903225806451,0.0,0.0,0.7
4,2021,1,5.0,250,5119.9,48.82907869294322,96028.92,-5.012903225806451,0.0,0.0,0.7
5,2021,1,6.0,94,5858.5,16.045062729367586,118715.29,-5.012903225806451,0.0,0.0,0.7
6,2021,1,7.0,324,4104.409090909091,78.9394996511512,97385.67,-5.012903225806451,0.0,0.0,0.7
7,2021,1,8.0,286,3937.3076923076924,72.63846830126013,105905.3,-5.012903225806451,0.0,0.0,0.7
8,2021,1,9.0,334,3336.5714285714284,100.10275732145915,86731.65,-5.012903225806451,0.0,0.0,0.7
9,2021,1,10.0,286,5229.368421052632,54.69111697095352,101744.58,-5.012903225806451,0.0,0.0,0.7
10,2021,1,11.0,175,3885.8275862068967,45.0354515525029,106499.65,-5.012903225806451,0.0,0.0,0.7
11,2021,1,12.0,65,7890.692307692308,8.2375534953548,108832.46,-5.012903225806451,0.0,0.0,0.7
12,2021,1,13.0,64,7499.692307692308,8.53368343316649,108758.98,-5.012903225806451,0.0,0.0,0.7
13,2021,1,14.0,54,6067.6,8.899729711912453,113770.84,-5.012903225806451,0.0,0.0,0.7
14,2021,2,1.0,68,7929.0,8.576113002900744,122484.73,-13.157142857142857,0.0,0.0,16.5
15,2021,2,2.0,39,9756.0,3.9975399753997536,125593.48,-13.157142857142857,0.0,0.0,16.5
16,2021,2,3.0,47,6702.2307692307695,7.0125905266903095,117574.23,-13.157142857142857,0.0,0.0,16.5
17,2021,2,4.0,125,4798.8,26.0481787113445,101800.18,-13.157142857142857,0.0,0.0,16.5
18,2021,2,5.0,183,5119.9,35.74288560323444,96028.92,-13.157142857142857,0.0,0.0,16.5
19,2021,2,6.0,82,5858.5,13.996756849022788,118715.29,-13.157142857142857,0.0,0.0,16.5
20,2021,2,7.0,248,4104.409090909091,60.42282689347376,97385.67,-13.157142857142857,0.0,0.0,16.5
21,2021,2,8.0,231,3937.3076923076924,58.66953208947934,105905.3,-13.157142857142857,0.0,0.0,16.5
22,2021,2,9.0,262,3336.5714285714284,78.52371981503683,86731.65,-13.157142857142857,0.0,0.0,16.5
23,2021,2,10.0,267,5229.368421052632,51.057791018337724,101744.58,-13.157142857142857,0.0,0.0,16.5
24,2021,2,11.0,149,3885.8275862068967,38.34447017898818,106499.65,-13.157142857142857,0.0,0.0,16.5
25,2021,2,12.0,50,7890.692307692308,6.336579611811385,108832.46,-13.157142857142857,0.0,0.0,16.5
26,2021,2,13.0,55,7499.692307692308,7.3336342003774515,108758.98,-13.157142857142857,0.0,0.0,16.5
27,2021,2,14.0,42,6067.6,6.92201199815413,113770.84,-13.157142857142857,0.0,0.0,16.5
28,2021,3,1.0,79,7929.0,9.963425400428806,122484.73,1.7967741935483872,0.0,0.0,4.2
